244,108,59
99,102,129
249,193,0
160,180,0
115,82,59
217,213,180
51,142,137
218,147,70
234,132,163
61,127,236
81,202,147
178,171,245
42,67,196
64,158,210
206,77,194
45,86,51
139,140,69
151,218,229
135,41,60
118,33,203
42,94,246
211,109,209
66,152,210
188,189,231
68,70,179
65,168,121
245,117,90
43,126,153
248,169,168
66,145,255
249,195,28
166,219,26
147,110,255
99,102,129
225,68,134
198,129,79
84,188,203
59,112,55
123,53,137
138,188,152
243,72,2
65,174,138
71,108,133
240,189,0
171,20,17
82,184,253
74,55,255
244,94,163
191,231,0
245,139,34
147,110,255
104,62,0
107,147,255
247,153,142
84,188,203
25,73,137
250,207,156
205,220,136
135,8,163
71,193,90
102,143,251
207,221,254
118,220,169
209,243,228
104,120,156
207,212,222
240,189,0
250,235,184
116,99,255
211,206,254
135,211,249
214,238,249
147,98,189
221,207,235
237,145,59
252,224,199
44,134,133
191,222,222
232,140,181
252,224,237
